,sample_id,tADS,PL,v0,t_press,t_depress,CO2_purity,CO2_recovery,n_CO2_feed,n_CO2_product,n_N2_product,n_cycles,status
48,49,153.16181450697746,0.4674965951682058,0.0358662738944426,33.581426698641536,56.6045058436344,0.3297502814647959,0.3252877093018753,0.151908021089354,0.0494138122047369,0.1004384092557997,10,ok
50,51,101.20883472370122,0.4507833009912693,0.0126259802445889,32.5081966299703,23.00272084921907,0.3318050556387518,0.2500108684013882,0.0353368206942073,0.0088345892283029,0.0177912535012348,10,ok
51,52,134.26843858280955,0.3497744252879361,0.02126304465945,56.34006064721787,46.82020111871855,0.3906178947245918,0.3885789992124978,0.0789483999552844,0.0306776902440524,0.0478586253174299,10,ok
52,53,69.73406019648851,0.2332834000041845,0.0133863940611924,33.10478352822467,49.28474488866511,0.3536326487900336,0.5381867340887676,0.0258138332569472,0.0138926626148684,0.0253929142751689,10,ok
54,55,144.06683122071573,0.3040827873069286,0.041442370071059,30.189898577757635,59.82033026348819,0.4538195478233623,0.4242470772511376,0.1651020748799822,0.0700440727159309,0.0842993729374806,10,ok
55,56,55.1726381440968,0.4855239244128075,0.0118464662800096,26.695109851207626,37.23747433488112,0.2980929928948198,0.4309605421052054,0.0180740931446848,0.0077892209796933,0.0183409503606364,10,ok
56,57,109.7677563977532,0.3973904512649755,0.033598813863135,51.7663650595645,55.434971193805765,0.3669486214135055,0.4454200219264747,0.1019864972401125,0.0454268278368952,0.0783693255916385,10,ok
57,58,157.7416070825446,0.4821661862274928,0.0309834192327194,32.57009209003843,32.30480302908529,0.3225083122754173,0.2360110620656368,0.1351510883405922,0.0318971518985898,0.0670061962772865,10,ok
58,59,60.47658070732501,0.3662573429579489,0.0466018123960772,50.36931473620098,24.753568864640563,0.3822924303543084,0.4187159791345782,0.077935258191443,0.0326327379427362,0.0527279319310884,10,ok
59,60,67.56483762927388,0.3301927345814748,0.0189334551033312,19.103852650139203,38.85055487813036,0.4101311899180195,0.5240124804081852,0.0353748457086227,0.0185368606438322,0.0266605325306238,10,ok
60,61,84.97084591147112,0.2743322145147235,0.033951680009723,17.867517707936198,39.97027590292824,0.4091443491600469,0.4966651653254557,0.079776532118842,0.0396222245138962,0.0572194515235186,10,ok
61,62,115.07828332777744,0.2779154792781829,0.0395642552908523,40.86715762886428,43.565938530247976,0.4300419665533213,0.459014273858613,0.1259042275757622,0.057791837596418,0.0765946690499104,10,ok
62,63,81.36346697353096,0.3287826876530195,0.0292049210743554,52.18519639788117,34.52302697009547,0.4616300353495201,0.4285541313511991,0.0657096911106401,0.0281601595952759,0.032841416209805,10,ok
63,64,116.51799862889922,0.4347099870889928,0.0160478934354004,24.68628973633527,23.29727381636289,0.3436052230794068,0.242170757964248,0.0517076726712778,0.0125220862833705,0.0239211498559029,10,ok
64,65,57.3320970385928,0.4667629114174623,0.0428228927760613,42.227156167306575,59.45964608500867,0.3225698401281703,0.6635459570470134,0.0678918700798816,0.0450493759078665,0.0946083673267971,10,ok
65,66,150.93538753068884,0.4790634440490093,0.0348425678127485,22.05944927212474,15.128043393800322,0.324150510739868,0.1844853820502124,0.1454270420823622,0.0268291634189969,0.0559384477063405,10,ok
66,67,64.90970528810244,0.4392380428407303,0.0303301598044785,49.16735720632681,46.257346322357805,0.3382538900335398,0.5201300842435995,0.0544412738553712,0.0283165443567231,0.0553973320865466,10,ok
67,68,78.36101167892105,0.3500745784741588,0.0328442353643984,29.126657722128865,52.802133626810345,0.3790920314825975,0.5915338337074536,0.0711710106060286,0.0421000607526179,0.0689549265758365,10,ok
69,70,80.04455164724185,0.4960421435803985,0.0183097285664567,17.17222804103431,54.22323456874723,0.3065800180369968,0.4492958562071794,0.0405282288921838,0.0182091653006742,0.0411853295436599,10,ok
70,71,49.753736359210656,0.4202776462591205,0.0400144650841978,43.73262343447517,53.63401625670407,0.3401464013272159,0.737386566706025,0.0550537186242688,0.0405958725607491,0.0787523622062461,10,ok
71,72,94.96571722899616,0.409603216861328,0.0278548295535964,21.197447201109565,41.45126151188696,0.3573529188776483,0.3913466530066303,0.0731494896798971,0.0286268079553707,0.0514811370007808,10,ok
72,73,62.5931574063911,0.4058180474621,0.0243744559947353,52.79181267639414,51.70614542269381,0.3490579393087545,0.6087906620315241,0.0421896316557877,0.0256846537865931,0.0478981268757144,10,ok
73,74,70.23356644942237,0.4025923087717972,0.0286353031999876,51.12510994797037,47.01770430520087,0.3575131777354286,0.5314096490572235,0.0556148091289436,0.0295542462015964,0.0531119268015915,10,ok
74,75,54.31211798661832,0.3329028460753428,0.0404021719336514,26.9501862426128,40.34989237245479,0.3721548457153386,0.6318568919677438,0.0606799751610879,0.0383410605099649,0.0646834223132199,10,ok
75,76,75.61965874389094,0.457473992571369,0.020108213976364,36.88691491521531,36.28593220595263,0.328378122009779,0.3797397764710387,0.0420486593784439,0.0159675485132771,0.0326579458270602,10,ok
76,77,128.86996329002687,0.2483682737972344,0.0234918742834709,53.07916096934612,43.00911728386275,0.4427212791449682,0.4267721050752234,0.0837169341916772,0.035728052235426,0.0449729529306865,10,ok
77,78,131.55231250932002,0.3438668697711409,0.0480620851969764,48.31117040930936,18.03404307723809,0.401557118935999,0.2542229267807454,0.1748417072353094,0.0444487705367025,0.0662422580633579,10,ok
82,83,68.67174534558663,0.3624210187911917,0.0297817271847367,29.436022177640783,58.56592170561905,0.366275333047798,0.6761356447367338,0.0565551175193611,0.0382389308471149,0.0661604851029754,10,ok
83,84,90.1992138352694,0.2963654975138856,0.028048768671334,49.78839078258935,35.56418537652446,0.3956540294909438,0.4199134121637339,0.0699617228529399,0.0293778657640314,0.0448735346370452,10,ok
84,85,137.68766423372807,0.4239557930767399,0.0225751616148795,27.52758137889677,37.50074731845366,0.3519752751178057,0.288895805238978,0.0859547424504383,0.0248319645343283,0.0457183447907147,10,ok
85,86,44.91301281746518,0.2656236861225124,0.0452160605198188,16.35660727960203,27.19585237079155,0.386349979624811,0.5514545972435267,0.0561576406142408,0.0309683890870729,0.0491879218234302,10,ok
86,87,98.41899460476998,0.3767990696648006,0.0451351920874621,49.40169329771559,57.12154100445,0.3776361597638337,0.5252468641839301,0.1228395345037054,0.0645210802958849,0.1063340632799716,10,ok
87,88,120.76474011767512,0.4171225521302215,0.0229533279291109,34.12058889408071,19.184722481181677,0.3562320385034615,0.2242658625034159,0.076653105647259,0.017190674851548,0.0310662840782731,10,ok
88,89,159.95427719745942,0.4589310040217722,0.0380572087500666,54.55649754238382,26.952976830181907,0.3345544420240401,0.2231856170627338,0.168335895184207,0.0375701506404949,0.0747289131925754,10,ok
89,90,139.80036750388925,0.2176803399190936,0.048693848436774,20.847959012662635,16.005793702596296,0.5054293005277632,0.2674347564227956,0.1882462595175042,0.0503435925615661,0.0492620150060955,10,ok
90,91,127.4240836879218,0.4734608401855761,0.0177674433203161,21.439932679464345,20.095121556225894,0.3251211653499216,0.2129961456780823,0.0626066405995504,0.0133349731415571,0.0276804222332871,10,ok
92,93,56.587313935925,0.4981808913704961,0.0460499694717222,15.077847500336215,55.61441856768937,0.3072002000580749,0.6007425939105713,0.0720596865844798,0.0432893230351432,0.0976263502845992,10,ok
93,94,103.34430925300256,0.3134123735785468,0.031720770956577,57.49803991478732,39.528675310115794,0.3952866007356903,0.4168931591939721,0.0906513432235137,0.0377919248616277,0.0578144650116718,10,ok
94,95,78.79099042976578,0.4881601457978815,0.0371588133595586,23.55482744023905,31.67948869526327,0.3181416574470841,0.3302061244774952,0.0809622071455301,0.0267342166506696,0.0572982136358807,10,ok
95,96,43.43031750389366,0.4276024718952569,0.015972494494276,20.381293131405435,38.7882440536834,0.3122660773930941,0.5623752562058383,0.0191826982032012,0.0107878748167445,0.0237591848792861,10,ok
96,97,72.45256451894468,0.3192169520117466,0.0262871040944014,50.553291505331856,44.35271379395854,0.3519888506902488,0.4980977424002074,0.0526672266574344,0.0262334266965481,0.0482957143404605,10,ok
97,98,123.32406086707884,0.4433158342395624,0.0275402134716763,37.34211707256043,41.92854166779673,0.3415293991440389,0.3189093790035828,0.0939202115086651,0.0299520363281135,0.0577476943632445,10,ok
98,99,107.750698930646,0.2534933380163747,0.0110360303581433,47.02987796209664,26.333330705229105,0.3976154479323027,0.2892802960171579,0.0328834158849468,0.0095125242812527,0.0144114060658204,10,ok
99,100,40.92874725826716,0.323371261410951,0.0364361762907936,56.45134683203264,29.144837621790494,0.329726444300836,0.5116634862164001,0.0412387211960123,0.0211003478542578,0.042893148023817,10,ok
